Date : 2025-12-21 16:23:10
Directory : /Users/ryllis/IdeaProjects/chat
Total : 60 files,  9094 codes, 950 comments, 1997 blanks, all 12041 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/service/impl/UserServiceImpl.java                    | Java            |        308 |         40 |         67 |        415 |
| /Users/ryllis/IdeaProjects/chat/src/main/java/com/example/chat/util/SensitiveWordFilter.java                        | Java            |        123 |         43 |         32 |        198 |
| /Users/ryllis/IdeaProjects/chat/src/main/resources/application.properties                                           | Java Properties |          4 |          5 |          5 |         14 |
| /Users/ryllis/IdeaProjects/chat/src/main/resources/static/app.js                                                    | JavaScript      |      1,771 |        248 |        228 |      2,247 |
| /Users/ryllis/IdeaProjects/chat/src/main/resources/static/index.html                                                | HTML            |        142 |         20 |         15 |        177 |
| /Users/ryllis/IdeaProjects/chat/src/main/resources/static/style.css                                                 | PostCSS         |        834 |         14 |        148 |        996 |
| /Users/ryllis/IdeaProjects/chat/src/test/java/com/example/chat/ChatApplicationTests.java                            | Java            |          9 |          0 |          5 |         14 |
| /Users/ryllis/IdeaProjects/chat/test-client.html                                                                    | HTML            |        294 |          0 |         31 |        325 |
| /Users/ryllis/IdeaProjects/chat/websocket-json-tests.md                                                             | Markdown        |        504 |          0 |        102 |        606 |
| /Users/ryllis/IdeaProjects/chat/使用文档.md                                                                             | Markdown        |        463 |          0 |        151 |        614 |
| /Users/ryllis/IdeaProjects/chat/前端使用说明.md                                                                           | Markdown        |        118 |          0 |         39 |        157 |
| /Users/ryllis/IdeaProjects/chat/功能分析与测试指南.md                                                                        | Markdown        |        486 |          0 |        124 |        610 |
| /Users/ryllis/IdeaProjects/chat/敏感词过滤功能说明.md                                                                        | Markdown        |        286 |          0 |         88 |        374 |
| /Users/ryllis/IdeaProjects/chat/群聊功能完整测试步骤.md                                                                       | Markdown        |        468 |          0 |        134 |        602 |
| Total                                                                                                               |                 |      9,094 |        950 |      1,997 |     12,041 |
+---------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
